INDIC,TAMIL
உபநயநம்,மூக்குக்கண்ணாடி
நிருவாணம்,உடையின்மை
அத்தியட்சன்,கண்காணி
சங்கிராந்தி,திங்கட்பிறப்பு
சப்தம்,ஒலி
துவேஷம்,பகை
சோதிடர்,காலக்கணிதர்
ரம்பை,அரிவை
பரோபகாரம்,உதவி
பாடியம்,அகலவுரை
வம்சம்,பரம்பரை
அற்புதம்,அரிய செயல்
ஆனந்தம்,மகிழ்ச்சி
அலங்காரம்,அழகு
சோலி,தொழில்
சிருஷ்டி,ஆக்கம்
வாக்கு,மொழி
அவத்தை,நிலைமை
அநுசரித்தல்,கைக்கொள்ளல்
தாவரம்,அசையாப் பொருள்
விஷயம்,சேதி
விதவை,கைம்பெண்
மஹாத்மா,அண்ணல்
ஹிதம்,அறம்
யாத்திரை,வழிப் பயணம்
வியாபாரம்,கொண்டு விற்றல்
தாவரம்,நிற்பன
பிரசாதம்,திருவமுது
விருத்தாச்சலம்,முதுகுன்றம்
